text,score
टैंकर,0
"टेप,माप-पट्टी",0
"फ़ोन,फोन,टेलिफोन,टेलिफ़ोन,दूरभाष,टेलिफ़ून,टेलिफून,टेलीफोन,दूरध्वनि,दूर-ध्वनि",0
"चोंगा,रिसीवर,रिसीवॅर",0
"धनुर्विद्या,तीरंदाज़ी,बाण_विद्या,तीरंदाजी,तीरंदाज़ी",0
"कनपटी,कर्णपटी,शंख,गंडमंडल,गण्डमण्डल,गंडस्थल,गण्डस्थल",0
"कनपटी,कर्णपटी,शंख,गंडमंडल,गण्डमण्डल,गंडस्थल,गण्डस्थल",0
"अड्डा,स्टेशन,परिवहन_स्थल",0
परखनली,0
"तापमापी,थर्मामीटर,तापमापक_यंत्र",0
अंगुश्ताना,-1
"वस्तु,चीज़,चीज",0
"तसमा,तस्मा",0
"सिंहासन,राजगद्दी,राजसिंहासन,तख्त,तख़्त,तख्ता,तख़्ता",0
"टाइमर,काल-समंजक,समय-नियामक,काल_समंजक,समय_नियामक",1
टिंचर,0
"चमक-दमक,चमकदमक,तड़क-भड़क,तड़कभड़क",1
टोस्टर,1
खूँटी,0
पुष्टई,0
"दाँत,दंत,रदन,दंश,रद",-1
"टूथब्रश,टूथ-ब्रश,टूथ_ब्रश",0
"टूथ_पेस्ट,टूथपेस्ट,पेस्ट",0
"दँतखोदनी,दँतखुदनी,दँतकुरेदनी",0
"दंत-मंजन,दंतमंजन,दन्त-मंजन,दन्तमंजन,मंजन,टूथपाउडर,टूथ_पाउडर",0
"अंगोछी,अँगोछी,गमछी",0
"मीनार,धरहरा",0
"खोजी,खोजू",0
"पटरी,रेल_पटरी,रेल_पथ,रेलवे_लाइन",0
"ट्रैक्टर,टेक्टर",0
"प्रशिक्षण,प्रशिक्षा",1
"ट्रांसफार्मर,ट्रांसफ़ॉर्मर,ट्रान्सफार्मर,ट्रान्सफ़ॉर्मर,परिणामित्र",0
"मछमारी,मच्छीमारी,माहीगिरी",0
"कोशागार,कोष,कोश,भंडार,भण्डार,ख़ज़ाना,खजाना,खज़ाना",1
"तिपतिया,तिपत्ती",0
"खाई,खंदक",0
