POS_TAG ID POS NEG LIST_OF_WORDS
n 27754 0.0 0.0 सर्पिल,सर्पिला
n 6637 0.0 0.0 पट्टा
n 22972 0.0 0.0 लिफ्ट
n 31502 0.0 0.0 खंभा,थंब,स्तंभ,स्तम्भ,थंभ,खंभ,खम्भा,थम्ब,थम्भ,पश्त
n 7753 0.0 0.0 अभियान
n 4589 0.0 0.0 खंभा,थंब,स्तंभ,स्तम्भ,थंभ,खंभ,खम्भा,थम्ब,थम्भ,पश्त
n 8602 0.0 0.0 अंतर्गत,अन्तर्गत,शामिल,सम्मिलित,अंदर,अन्दर,शरीक
n 8466 0.0 0.0 अंतर्गत,अन्तर्गत,शामिल,सम्मिलित,अंदर,अन्दर,शरीक
n 3757 0.0 0.0 दया,अनुकंपा,अनुकम्पा,कृपा,मेहरबानी,इनायत,रहम,रहमत,तरस,करुणा,अनुग्रह,करुना,मेहर,अनुक्रोश,अनुषंग,फजल,फजिल
n 9379 0.0 0.0 दया,अनुकंपा,अनुकम्पा,कृपा,मेहरबानी,इनायत,रहम,रहमत,तरस,करुणा,अनुग्रह,करुना,मेहर,अनुक्रोश,अनुषंग,फजल,फजिल
n 27326 0.0 0.375 ताल
n 3272 0.0 0.0 यौगिक_पदार्थ,यौगिक
n 13001 0.0 0.0 ताल
n 6747 0.0 0.0 पर्यटन,सैरसपाटा,सैर-सपाटा,सैर,परिभ्रमण
n 13182 0.0 0.0 परिचालक,कंडक्टर,कंडेक्टर
n 13585 0.0 0.0 कोन,शंकु,शंक्वाकार_वस्तु
n 9138 0.0 0.0 दूतावास
n 32816 0.0 0.0 पात्र,आधार,संपुट,सम्पुट
n 908 0.0 0.0 पाक_भाड़,रसोई_पात्र,रसोई_बरतन,पाक_बरतन
n 5521 0.0 0.0 जल_यात्रा,नौ_यात्रा
n 9010 0.0 0.0 ताम्रपत्र,ताम्रपत्रक,ताम्र_फलक,पट्टक
n 26656 0.0 0.0 प्रति,कापी,कॉपी
n 5854 0.0 0.0 अतिथि-सत्कार,अतिथि-सेवा,अतिथि_सत्कार,अतिथि_सेवा,आतिथ्य,सत्कार,मेहमाननवाज़ी,मेहमानदारी,मेहमाननवाज़ी,शिष्टाचार
n 9306 0.0 0.0 नुक्कड़,नुक्कड़,नाका
n 2673 0.0 0.0 न्यायालय,अदालत,कोर्ट,कचहरी,अधिकरण-मंडप,अधिकरण-मण्डप,अधिकरणमंडप,अधिकरणमण्डप,इजलास
n 804 0.0 0.0 आच्छाद,आच्छादक_वस्तु,आच्छादन,आवरण,कवच,छाजन,छद,अपटी,अपवारण,अपिधान,अबरन,अभिवास,अभिवासन
n 5654 0.0 0.0 पालना,पलना,हिंडोला,हिंडोलना,हिंडोरा,हिन्डोला,हिन्डोलना,हिन्डोरा,गहवारा,पिंगूरा
n 13936 0.0 0.0 शिल्पी,शिल्पकार,दस्तकार,हस्तशिल्पी
n 12383 0.0 0.0 सारस,पंकजन्मा
n 7176 0.0 0.0 बल्ला,बैट
n 7505 0.125 0.0 मटका,माठ
n 23562 0.0 0.0 दोग़ला,दोगला,संकर,हरामी,हरामज़ादा,हरामजादा
n 10265 0.0 0.0 दोग़ला,दोगला,संकर,हरामी,हरामज़ादा,हरामजादा
n 6216 0.0 0.0 अनुकंपन,अनुकम्पन
n 7697 0.0 0.0 मुकुट,किरीट,ताज,सिरमौर
n 15774 0.0 0.0 दुमची
n 3967 0.0 0.0 बैसाखी
n 8290 0.0 0.0 प्याला,चषक,कप
n 5181 0.0 0.0 कप,इनामी_प्याला
n 27996 0.0 0.0 कर्सर,पाइंटर,पाइन्टर
n 4838 0.0 0.0 गद्दी
n 3834 0.0 0.0 झाँझ,झांझ,कंसताल,कँसताल,झर्झरी,झाँझरी,छैना,ताल
n 8963 0.0 0.0 ढुलाई,ढोवाई
n 20808 0.0 0.0 अंधेरा_कमरा,अँधेरा_कमरा,अंधेरी_कोठरी,तिमिर_कक्ष,अंध_कक्ष,डार्करूम
n 27653 0.0 0.0 डेक
n 28138 0.0 0.0 साज़,साज,सज्जा_सामग्री
a 13277 0.125 0.25 होनहार
a 2162 0.375 0.125 गहरे,गहराई_में
a 2409 0.625 0.0 प्रगतिशील,उन्नतशील,विकासशील,उन्नतिशील,उत्थानशील
a 766 0.0 0.25 अवनतिशील,पतनशील,पतनोन्मुख
a 23025 0.75 0.0 सटीक
a 22107 0.75 0.0 हलाल
a 2039 0.0 0.75 अनुचित,असंगत,विसंगत,गलत,ग़लत,नामुनासिब
a 1115 0.0 0.0 प्रत्याशित,प्रयाशानुकूल,यथावांछित,आशानुकूल
n 6331 0.0 0.0 धोती,धोवती
n 13915 0.0 0.0 बोली
n 13083 0.0 0.0 हीरा,कुलिश,हीरक,हीर,अभेद्य
n 12453 0.0 0.0 लँगोटी,लंगोटी
n 9165 0.0 0.125 डायरी,दैनंदिनी,दैनन्दिनी,दैनिकी,रोजनामचा,रोज़नामचा
n 21619 0.0 0.0 भोजनगृह,भोजन_कक्ष
n 9509 0.0 0.0 प्रस्तुतिकरण
n 2049 0.0 0.0 अटेरन,अँडिया,अंटी
n 18595 0.0 0.0 डिस्टेम्पर,डिस्टैम्पर
n 8427 0.0 0.0 गुड़िया,गुड्डी,पुतली,पुत्तली,पुत्तलिका,शालंकी,शालांकी
n 4185 0.0 0.0 स्वदेशीय,देशी,देसी,स्वदेशी,देशीय,देशज
n 10947 0.0 0.0 खुराक,ख़ूराक,डोज
n 4652 0.0 0.0 दराज़,दराज,ख़ाना,खाना
n 9933 0.0 0.0 चित्रांकन,चित्रण,चित्रकारी
n 3115 0.0 0.0 ढाल,उतार,ढलान,ढलाव,ढलवाँ,ढलुवाँ,ढालवाँ,ढालू,ढलुआ,धँसान,धंसान,उतारू
n 18887 0.0 0.0 ड्रिल,ड्रिल_मशीन,ड्रिलिंग_मशीन
n 3671 0.0 0.0 नलकूप,ट्यूबवेल,ट्यूबवैल
n 19899 0.0 0.0 लौटना,वापस_आना,आना
n 13923 0.0 0.0 चोब,डागा
n 18883 0.0 0.0 ड्रायर
n 10628 0.0 0.0 पुतला
