POS_TAG ID POS NEG LIST_OF_WORDS
a 10363 0.0 0.0 अनौपचारिक
a 2627 0.0 0.75 मृत
a 11476 0.125 0.0 परवर्ती
a 28106 0.25 0.375 अच्छा,बढ़िया
a 1156 0.875 0.0 सौभाग्यशाली,खुशकिस्मत,खुशनसीब,तक़दीर_वाला,नसीब_वाला,भाग्यवान,भाग्यशाली,ख़ुशक़िस्मत,ख़ुशनसीब
a 2279 0.0 1.0 दुर्भाग्यशाली,अभागा,बदनसीब,भाग्यहीन,मनहूस,बदकिस्मत,मंदभाग्य,बदक़िस्मत,दईमारा,कमबख्त,कमबख़्त,अधन्य,अभागी
a 2384 0.0 0.875 आवासहीन,आश्रयहीन,गृहहीन,गृहविहीन,बेघर,बेघरबार,अगतिक,अगेह,अनिकेत
a 4714 0.25 0.125 सुगंधित,सुगन्धित,ख़ुशबूदार,सुगंधपूर्ण,सुरभित,अधिवासित,खुशबूदार
a 1488 0.0 0.75 बदबूदार,दुर्गंधपूर्ण,दुर्गंधयुक्त,दुर्गंधित
a 29150 0.0 0.0 लगा,लगा_हुआ
a 23485 0.125 0.625 ढीला
a 12353 0.125 0.5 अश्लिष्ट,असंयुक्त,असंयोजित,असंबद्ध,अलग,अजुड़ा,अजोड़,पृथक्,जुदा,पृथक,अपृक्त
a 2775 0.0 0.75 पराधीन,गुलाम,परतंत्र,अन्याधीन,अपरवश,परवश,अवश,अबस
a 28187 0.0 0.0 अधिकतः,अधिकांशतः,प्रायः
a 6375 0.5 0.375 ताज़ा,ताजा,अम्लान
a 1479 0.5 0.25 बासी,बसिया
a 11712 0.0 0.125 कठिनाई_से,जैसे_तैसे,मुश्किल_से,कठिनतः
a 23486 0.0 0.375 ढीला
a 22458 0.0 0.25 सड़ा
a 2443 0.0 0.625 जड़,अचैतन्य,जड़त्वयुक्त,स्थूल,अजैव,भौतिक,अचेतन,चेतनारहित,अजीव,अनात्म,आत्मारहित
a 10307 0.0 0.25 हत,वधित,मक़तूल
a 3760 0.125 0.25 दोस्ताना,मित्रवत,मित्रतापूर्ण,मित्रोचित,मैत्रीपूर्ण
a 16933 0.25 0.5 मृतजात
