text,score
"सर्पिल,सर्पिला",0
पट्टा,0
लिफ्ट,0
"खंभा,थंब,स्तंभ,स्तम्भ,थंभ,खंभ,खम्भा,थम्ब,थम्भ,पश्त",0
अभियान,0
"खंभा,थंब,स्तंभ,स्तम्भ,थंभ,खंभ,खम्भा,थम्ब,थम्भ,पश्त",0
"अंतर्गत,अन्तर्गत,शामिल,सम्मिलित,अंदर,अन्दर,शरीक",0
"अंतर्गत,अन्तर्गत,शामिल,सम्मिलित,अंदर,अन्दर,शरीक",0
"दया,अनुकंपा,अनुकम्पा,कृपा,मेहरबानी,इनायत,रहम,रहमत,तरस,करुणा,अनुग्रह,करुना,मेहर,अनुक्रोश,अनुषंग,फजल,फजिल",-1
"दया,अनुकंपा,अनुकम्पा,कृपा,मेहरबानी,इनायत,रहम,रहमत,तरस,करुणा,अनुग्रह,करुना,मेहर,अनुक्रोश,अनुषंग,फजल,फजिल",-1
ताल,0
"यौगिक_पदार्थ,यौगिक",0
ताल,0
"पर्यटन,सैरसपाटा,सैर-सपाटा,सैर,परिभ्रमण",0
"परिचालक,कंडक्टर,कंडेक्टर",0
"कोन,शंकु,शंक्वाकार_वस्तु",0
दूतावास,0
"पात्र,आधार,संपुट,सम्पुट",0
"पाक_भाड़,रसोई_पात्र,रसोई_बरतन,पाक_बरतन",0
"जल_यात्रा,नौ_यात्रा",0
"ताम्रपत्र,ताम्रपत्रक,ताम्र_फलक,पट्टक",1
"प्रति,कापी,कॉपी",0
"अतिथि-सत्कार,अतिथि-सेवा,अतिथि_सत्कार,अतिथि_सेवा,आतिथ्य,सत्कार,मेहमाननवाज़ी,मेहमानदारी,मेहमाननवाज़ी,शिष्टाचार",1
"नुक्कड़,नुक्कड़,नाका",-1
"न्यायालय,अदालत,कोर्ट,कचहरी,अधिकरण-मंडप,अधिकरण-मण्डप,अधिकरणमंडप,अधिकरणमण्डप,इजलास",1
"आच्छाद,आच्छादक_वस्तु,आच्छादन,आवरण,कवच,छाजन,छद,अपटी,अपवारण,अपिधान,अबरन,अभिवास,अभिवासन",-1
"पालना,पलना,हिंडोला,हिंडोलना,हिंडोरा,हिन्डोला,हिन्डोलना,हिन्डोरा,गहवारा,पिंगूरा",0
"शिल्पी,शिल्पकार,दस्तकार,हस्तशिल्पी",1
"सारस,पंकजन्मा",0
"बल्ला,बैट",0
"मटका,माठ",0
"दोग़ला,दोगला,संकर,हरामी,हरामज़ादा,हरामजादा",-1
"दोग़ला,दोगला,संकर,हरामी,हरामज़ादा,हरामजादा",-1
"अनुकंपन,अनुकम्पन",1
"मुकुट,किरीट,ताज,सिरमौर",0
दुमची,0
बैसाखी,0
"प्याला,चषक,कप",0
"कप,इनामी_प्याला",1
"कर्सर,पाइंटर,पाइन्टर",0
गद्दी,0
"झाँझ,झांझ,कंसताल,कँसताल,झर्झरी,झाँझरी,छैना,ताल",0
"ढुलाई,ढोवाई",0
"अंधेरा_कमरा,अँधेरा_कमरा,अंधेरी_कोठरी,तिमिर_कक्ष,अंध_कक्ष,डार्करूम",0
डेक,0
"साज़,साज,सज्जा_सामग्री",1
होनहार,1
"गहरे,गहराई_में",0
"प्रगतिशील,उन्नतशील,विकासशील,उन्नतिशील,उत्थानशील",1
"अवनतिशील,पतनशील,पतनोन्मुख",-1
सटीक,0
हलाल,0
"अनुचित,असंगत,विसंगत,गलत,ग़लत,नामुनासिब",0
"प्रत्याशित,प्रयाशानुकूल,यथावांछित,आशानुकूल",1
"धोती,धोवती",0
बोली,0
"हीरा,कुलिश,हीरक,हीर,अभेद्य",1
"लँगोटी,लंगोटी",0
"डायरी,दैनंदिनी,दैनन्दिनी,दैनिकी,रोजनामचा,रोज़नामचा",0
"भोजनगृह,भोजन_कक्ष",0
प्रस्तुतिकरण,0
"अटेरन,अँडिया,अंटी",0
"डिस्टेम्पर,डिस्टैम्पर",-1
"गुड़िया,गुड्डी,पुतली,पुत्तली,पुत्तलिका,शालंकी,शालांकी",0
"स्वदेशीय,देशी,देसी,स्वदेशी,देशीय,देशज",0
"खुराक,ख़ूराक,डोज",0
"दराज़,दराज,ख़ाना,खाना",0
"चित्रांकन,चित्रण,चित्रकारी",1
"ढाल,उतार,ढलान,ढलाव,ढलवाँ,ढलुवाँ,ढालवाँ,ढालू,ढलुआ,धँसान,धंसान,उतारू",0
"ड्रिल,ड्रिल_मशीन,ड्रिलिंग_मशीन",0
"नलकूप,ट्यूबवेल,ट्यूबवैल",1
"लौटना,वापस_आना,आना",0
"चोब,डागा",0
ड्रायर,0
पुतला,0
"डुप्लिकेटर,अनुलिपित्र",0
"दरबार,राजदरबार,राज-दरबार",0
"डायनामाइट,डाइनामाइट",1
"डाइनमो,डाइनेमो",0
