POS_TAG ID POS NEG LIST_OF_WORDS
a 28957 0.0 0.0 ध्वन्यात्मक,ध्वनिमय,ध्वनि_स्वरूप
a 21446 0.0 0.25 नारकीय,नारकिक,नरकीय
a 23545 0.0 0.0 महानगरीय
a 27316 0.375 0.25 वाद्ययंत्र,वाद्य_यंत्र,बाजा,वाद्य,साज़,साज,वादित्र
a 28136 0.0 0.0 चेहरे_का,चेहरा_संबंधी
a 27138 0.0 0.0 विषाणुजनित,विषाणुज
a 9390 0.0 0.0 परमाणविक,ऐटमी
a 20091 0.0 0.0 महाद्वीपीय
a 3314 0.0 0.0 आगामी,भविष्य_कालीन,संभावित,भविष्णु,अगला,भाविता,भावी,भव्य,अगत्तर
a 15574 0.375 0.25 काम,कामेच्छा
a 10268 0.0 0.0 समुद्री,समुद्रीय,दरियाई,सागरी,सागरीय,सामुद्रिक,सैंधव,सैन्धव,सिंधव,सिन्धव
a 1614 0.0 0.0 पहाड़ी,पर्वत-वासी,पर्वत_वासी,पर्वतीय,पर्वती
a 19490 0.0 0.0 स्तनीय,स्तन्य
a 14085 0.0 0.0 सिद्ध
a 544 0.0 0.0 बुद्धिमान,अक़्लमंद,अकलमंद,समझदार,होशियार,दिमागदार,अक्लमंद,दानिशमंद,दानिशमन्द,मनीष,जहीन,ज़हीन,ज़ेहनदार,जेहनदार,दिमाग़दार,दिमाग़ी,दिमागी,बुद्धिमान_व्यक्ति,अक़्लमंद_व्यक्ति,चतुर_व्यक्ति,समझदार_व्यक्ति,अक़लमंद_व्यक्ति
a 8269 0.0 0.0 सांस्कृतिक,संस्कृति-संबंधी
a 34340 0.0 0.0 सूक्ष्मतम,अति_सूक्ष्म,असगर,असग़र
a 12068 0.0 0.0 प्रशासनिक
a 13484 0.0 0.0 मनोविज्ञानिक,मनोवैज्ञानिक,मनोविज्ञानी
a 11802 0.125 0.0 फ़िदा,फिदा
a 14607 0.0 0.0 अग्निवर्धक
a 21381 0.0 0.0 बुद्धिवादी
a 14229 0.0 0.0 चाँदनी,अँजोरी,चांदनी,अंजोरी,अंजोरा,अँजोरा
a 33396 0.0 0.0 स्वदेशीय,देशी,देसी,स्वदेशी,देशीय,देशज
a 19456 0.0 0.0 कैथोलिक
a 34184 0.0 0.0 रूमानियाई,रोमानियाई
a 11075 0.0 0.0 सुरंग
a 13405 0.0 0.0 अमरीकी,अमेरीकी
a 7411 0.0 0.0 भैंस,महिषी,अनूप
a 19722 0.0 0.0 उत्तरीअमरीकी,उत्तरी_अमरीकी,उत्तरी-अमरीकी,उत्तरीअमेरिकी,उत्तरी_अमेरिकी,उत्तरी-अमेरिकी,उत्तरीअमरीका_वासी,उत्तरी_अमरीका_वासी,उत्तरी-अमरीका_वासी,उत्तरीअमेरिका_वासी,उत्तरी_अमेरिका_वासी,उत्तरी-अमेरिका_वासी
a 30974 0.0 0.0 विषुवतीय
a 20123 0.0 0.0 विषुवतीय
a 18542 0.0 0.0 उदरीय
a 8572 0.0 0.0 प्रायोगिक,प्रयोगात्मक
a 2101 0.0 0.0 आनुवंशिक,वंशागत,वंशानुक्रमिक,पैतृक,अनुवांशिक
